sequence	16S_rRNA_Count	metadata_NSTI
3add7df323955b22d1cea664ef38165d	1	0.136699
3ae3e825c5e3862af6c17798e2b40a37	1	0.079715
3b65e1db6742cc44493248fff266f564	1	0.251213
3b74a95b189e134bb34c191b7693455d	1	0.033489
3b795f0122b28b0e6a07bec73894acee	1	0.00015
3bf2fc236887eda11c969b84d30f9fbf	1	0.00015
3c9c437f27aca05f8db167cd080ff1ec	1	0.000101
3cb9f6500275fabe7c87a599a8c31749	2	0.00015
3cdd97ba69a504117de24626ba790e96	1	0.00015
3d6555a4886c6e4a89104136dd5ca39e	1	0.00015
3d6f762d8cda1915ad93d014e391c118	8	0.000101
3e2c7eb0316409806267a8d9845b0b13	1	0.017113999999999997
3ef461f213bfc675ddf0b1bfeef2dc52	1	0.00015
401d7866836c54f3cd18bd0fc814885e	1	0.00015
4075a90811bf9c19f02f5aa2ece6da37	8	0.000101
4086f6a89c2eab7d91003a0362a00228	5	0.058788
40f48a770b506ce189149c8976e24d78	1	0.018078
4132561a08d25757e4bee9f73ec4a70a	1	0.00015
41735c13fb7f63db49b10fba5d959ce3	5	0.000101
41b02ae84edd41bdab195b24febcebe8	1	0.017565
41c686088d124f17c99dcf9bf3acf9d5	1	0.000101
41cb0c62655aa8da8968a06cde0f14a1	1	0.000101
41fedaa9200e2933821f84ecdc0b0772	1	0.00015
42872dc875fef6070dfa78984184c096	1	0.000101
43a9c44adeac51fd3ab95081da56d02d	1	0.252498
44543d9c6bb193c64d38c9bdb6790eec	1	0.005211
44f993a57b632b8fde0c34ed075e1d66	1	0.000101
44ff26d8105cf822417b4b0c4eb27c02	1	0.000101
4516f28133b919f8d8039ece23d8dd2e	1	0.035776
458462fa1e15c439f12deec2f19af933	1	0.46607600000000005
459244e45f29ce28991de0114a16f9fa	1	0.00015
45c36b8b2965484407b8b213419d4c6c	1	0.138204
465e9cab9abce306c1e0f7459b325c33	1	0.162868
469e4ff2129066178b74b112829fc03c	7	0.000101
4738a05820f1a7840410c66476953498	1	0.00015
475741f076c42d2c75d2d63c14fe4d3f	1	0.00015
4851a0c86e3c1b3f3c67e88d8a38960a	1	0.081131
48eda83fda558aea8fdd32b9c8dfff98	2	0.00015
491a1fadac03e36b3274860a9d8740a5	1	0.000101
491ef1635067f62c395bdffd58966092	3	0.133778
49232f27012731b0a65805c0919e2bbc	1	0.1671
4980b85712efeef1fc4563a9a949fe2e	1	0.010909
498ae808db957a63e20e836e1bf77f54	2	0.00015
4a5387c4bc61f2d8f3d9d2de983ba556	1	0.017450999999999998
4ab53e40e06f3a9b0b9b2669d8a52f65	1	0.018131
4b13979d719e78a50cb0eac34d72dec1	1	0.03342
4b5eeb300368260019c1fbc7a3c718fc	7	0.000101
4b8228f4d7d3809aa6827e8d9e11a9ae	1	0.035072000000000006
4c4606a3dbb4f5b8bb1ad1db6dfc5617	3	0.000102
4ce1be9cea00a1eb7f960600e1ff3cfa	5	0.01702
4cecaa1cfabe89a905940ae23dd94a64	5	0.000101
4ea5683e2c2a183c11c45dc8fbd0c67c	4	0.000101
4fccea69a702bcb90cc0147c0fff2995	1	0.330937
4fdf8dcd9451f5742982d716fa9f0536	1	0.00015
500d6b485cef4c52aad211d6d6e6dbc7	2	0.000102
5042942b77f5b924b8f8c11de37a3626	1	0.000101
50e96bbd1a8267119529843a1acb43a5	2	0.000101
